DMA,Share of Spend %,Avg. Spend
Las Vegas,0.20335380612205228,149.1721415668726
Los Angeles,0.19328384145100047,73.31424746385969
San Diego,0.1176839726743881,90.57789419826712
Phoenix -Prescott,0.08733205677601287,120.91023900683777
San Francisco-Oak-San Jose,0.07778974377918944,163.12138445730562
Salt Lake City,0.039363982572332305,61.39277792859961
Omaha,0.03584220970771114,586.3877678977119
Sacramnto-Stkton-Modesto,0.029861790350769725,131.48464263620832
Denver,0.029177747853477546,80.09565153803148
Palm Springs,0.019998788208372035,149.09470503937965
Tucson -Sierra Vista,0.018537671568654362,136.8455011367798
Seattle-Tacoma,0.01780230365090108,113.87481485031269
Honolulu,0.017425124147198448,134.6449996829033
Austin,0.014778616583573552,359.3557060786656
Dallas-Ft. Worth,0.011192607505883845,117.01704237677835
Washington-DC -Hagrstwn,0.010746074606270617,62.72916730244955
New York,0.010466998284855191,138.358332157135
SantaBarbra-SanMar-SanLuob,0.00812357263519228,224.86874785025918
Boise,0.008097243121154469,143.13999791145324
Chicago,0.007277418829257242,105.60454470894553
Albuquerque-Santa Fe,0.006315072072665383,150.403076954377
Minneapolis-St. Paul,0.005744989229773686,77.1768522615786
Nashville,0.0051077658225914405,60.82571520124163
Atlanta,0.005001844687490395,72.4008339246114
Monterey-Salinas,0.00407588574074231,75.43999903542655
Fresno-Visalia,0.003480013529928782,53.007532825717675
Boston -Manchester,0.0027670981676659553,63.026249408721924
San Antonio,0.0026026125957565598,171.0463309288025
Portland- OR,0.002537677358978405,27.688000202178955
Harrisburg-Lncstr-Leb-York,0.0024415968495684246,141.60250051816305
Milwaukee,0.0011099623602093128,81.06100182533264
Green Bay-Appleton,0.0006799111563823356,77.5561116801368
