DMA,Share of Spend %,Avg. Spend
Los Angeles,0.15267885337241158,197.10193619370045
San Diego,0.06778926385412662,188.39773853360765
Phoenix -Prescott,0.055873566701527454,290.63104933988075
San Francisco-Oak-San Jose,0.05073895703427175,281.1021271216918
New York,0.04527670524853901,284.8554248736765
Las Vegas,0.04274332330596961,387.7396136132253
Dallas-Ft. Worth,0.04264986264584838,357.2367321011336
Salt Lake City,0.03522434828899633,275.6339159655312
Portland- OR,0.02646342620173308,506.163648278887
Sacramnto-Stkton-Modesto,0.023829660095417225,239.59806034588757
Denver,0.022163369556286883,264.7462542153708
Philadelphia,0.0198652993741007,320.7743731975794
Palm Springs,0.019216293270772934,183.98468394866356
Seattle-Tacoma,0.0175422334737963,236.03951027548953
Washington-DC -Hagrstwn,0.017293148363136553,301.9867565466344
Houston,0.016422127204567354,328.1108470382565
Atlanta,0.01463580280216666,482.2145313017643
Chicago,0.01427705251491468,346.7500449288415
Minneapolis-St. Paul,0.01411340978680114,295.7146082751289
Indianapolis,0.013680263536345882,672.2034928570669
Nashville,0.012557706117830345,322.0835900030459
Boston -Manchester,0.012412890502385995,416.2220831534093
Detroit,0.012134155079079138,478.66791256995066
SantaBarbra-SanMar-SanLuob,0.011674958289350215,278.6763127838921
Tampa-St. Pete -Sarasota,0.009903102338521794,168.7926416605914
Grand Rapids-Kalmzoo-B.Crk,0.00932088650931832,989.3725847502548
Miami-Ft. Lauderdale,0.008852173271746321,435.4993262292742
Fresno-Visalia,0.008335925349970038,346.25159725095637
Baltimore,0.007832844210939294,521.2183844119983
Orlando-Daytona Bch-Melbrn,0.007716148348537896,195.7657549786716
West Palm Beach-Ft. Pierce,0.007650592562071165,508.48541249931213
Tucson -Sierra Vista,0.007627371591335168,232.55927058957667
Boise,0.007229024322160511,184.08205852350767
Reno,0.006938499250622347,270.1122546018355
Cleveland-Akron -Canton,0.006128307718906515,359.2623763521512
Dayton,0.005683265345299277,405.3199906498194
Raleigh-Durham -Fayetvlle,0.0055444959510679735,284.7670365249549
Bakersfield,0.005463476943458653,160.6234789931256
Austin,0.005227521025986431,362.012172769329
Columbus- OH,0.00503286183797671,135.39428452083044
Eugene,0.0047681625413959015,1020.4995318241417
Monterey-Salinas,0.004575389459249989,165.7911485489758
Honolulu,0.0045313417691240305,255.9758339657608
Erie,0.004409612693861464,407.5322103720752
Ft. Myers-Naples,0.00426943201138872,458.30155941507104
Cincinnati,0.004204184905357951,308.28575184345243
Norfolk-Portsmth-Newpt Nws,0.004183211842021674,242.20267911665374
Charlotte,0.004111373380672871,228.04397449737945
Idaho Falls-Pocatllo-Jcksn,0.004068133660645423,268.2580986739374
Des Moines-Ames,0.00406030738210364,551.6363390669848
Hartford & New Haven,0.0038866913793661148,155.99651749834177
Colorado Springs-Pueblo,0.003827316768412173,244.5078427762161
Missoula,0.003643744446704842,566.3028530888741
Kansas City,0.0033743290272164376,578.5864603257065
Albuquerque-Santa Fe,0.003216553031946472,244.5213483319462
Memphis,0.002740199996251602,314.76585935541084
Buffalo,0.0025453629597353943,824.5411409702566
Bend- OR,0.0025398761285078714,218.64318084716797
Pittsburgh,0.0024634910782445154,427.22680059304605
Oklahoma City,0.002338606876123787,255.89966982700602
Eureka,0.0021992857552092814,245.6363328377406
Richmond-Petersburg,0.0021283233973338083,244.71809929914954
Spokane,0.002036466709498705,165.08184188541617
Jacksonville,0.002017697879539016,125.99843134829605
San Antonio,0.001946493095206419,239.43429959749815
Omaha,0.001902417134370367,369.02068203697854
Birmingham -Ann and Tusc,0.0018900771313463177,436.8310979247093
Cedar Rapids-Wtrlo-Iwc&Dub,0.0018324288662803464,274.9706892137175
St. Louis,0.0017912658451263272,214.134711176157
Louisville,0.001679879127265287,112.66367912888526
Little Rock-Pine Bluff,0.0016578650547202972,165.0508343865947
Milwaukee,0.001656616555556568,269.389386486498
Greensboro-H.Point-W.Salem,0.0016389300928132545,294.90202582279846
El Paso -Las Cruces,0.0016043391689196053,224.11100098252297
Medford-Klamath Falls,0.0015577820281553972,222.15087688947605
Yuma-El Centro,0.001496924415560914,137.93928446940012
Greenvll-Spart-Ashevll-And,0.0013778532482820658,144.67010025062947
Chico-Redding,0.0013301194388505295,222.11516457429775
Savannah,0.0012512806718197678,403.85833038224115
Providence-New Bedford,0.0012361390278805278,193.04083124796549
Lincoln & Hastings-Krny,0.0012119381977917668,175.49867937233714
Flint-Saginaw-Bay City,0.0011767017704235202,101.97166797442313
Tulsa,0.0011215870045086138,324.12716499997794
Mobile-Pensacola -Ft Walt,0.0010975878202249946,244.3051014045874
Albany-Schenectady-Troy,0.0010798008370326419,154.2872901384381
Charleston- SC,0.0010649457915294955,112.28887813008792
Wilkes Barre-Scranton-Hztn,0.00105010600263919,151.9342500448227
Huntsville-Decatur -Flor,0.000983472219563878,100.7497011743108
Portland-Auburn,0.0009400390979426472,189.47837735852622
Youngstown,0.0009213514080947081,121.2159233947377
Paducah-Cape Girard-Harsbg,0.000855574338335855,85.71983389617407
Harrisburg-Lncstr-Leb-York,0.0008283660209621185,97.59974355677804
Tyler-Longview-Lfkn&Ncgd,0.0008164679952224769,216.99204252660272
Burlington-Plattsburgh,0.0007814765521518899,115.02424563207322
Madison,0.0007621340725388867,162.52804153263565
Roanoke-Lynchburg,0.0006140110903186661,187.23168701830298
New Orleans,0.0006128885274188255,138.05879921913146
Macon,0.0003488720729395904,56.57636318206787
