Category,Share of Spend %,Avg. Spend
Accommodations,0.3718805875434277,780.1577555556115
Dining and Nightlife,0.25101689336254807,99.63924617287532
Grocery and Dept Stores,0.13381265703791187,83.83799704406289
Specialty Retail,0.06140895008777347,116.94263649861523
Service Stations,0.06136826423664964,59.46399625315604
Clothing and Accessories,0.03406431934847402,161.3139550774162
Personal Care and Services,0.03161418526122532,150.56460306216252
Fast Food Restaurants,0.026935429020870674,28.384918033942704
"Leisure, Recreation and Entertainment",0.023202107811837274,136.32366325221344
Transportation,0.004153038522725883,48.2902969093586
General Services,0.0005435677665562419,25.494524715496944
