Page Title,Page Views,Page Path
Visit Dana Point | The Best Beaches in Southern California,17331,/
Dana Point Trolley | Free Coastal Transportation & Stops,10258,/dana-point-trolley/
"Dana Point Events | Festivals, Live Music & Coastal Celebrations",5365,/events/
Things to Do in Dana Point | Explore Dana Point,5202,/things-to-do/
Baby Beach,4215,/listing/baby-beach/11/
Summer Concerts in the Park,4063,/event/summer-concerts-in-the-park/768/
"Best Year-Round Whale Watching | Dana Point, California",3504,/things-to-do/harbor-ocean-adventure/dana-point-whale-watching/
Strands Beach,2981,/listing/strands-beach/48/
Dana Point Shopping | Shop Local,2804,/things-to-do/shopping/
Dana Point Hotels | All Places to Stay,2394,/lodging/
4th of July Fireworks,2369,/event/4th-of-july-fireworks/767/
Dana Point Harbor Farmers Market,2008,/event/dana-point-harbor-farmers-market/724/
Dana Point Restaurants | Dining,1964,/dana-point-restaurants/
Salt Creek Beach,1764,/listing/salt-creek-beach/245/
"Hiking in Dana Point | Scenic Trails, Bluffs & Ocean Views",1750,/things-to-do/onshore-activities/hiking/
Offers - Visit Dana Point,1685,/offers/
"Things to Do in Dana Point | Beaches, Dining & Activities",1664,/things-to-do/
Dana Point Trolley | Visit Dana Point,1639,/dana-point-trolley/
Events from February 6 – February 14 – Visit Dana Point,1611,/events/
Local Attractions - Visit Dana Point,1507,/things-to-do/local-attractions/
Get on the Water | Dana Point Kayaking & Paddleboarding,1478,/things-to-do/harbor-ocean-adventure/kayaking-paddleboarding/
Dana Point Beaches | Best Southern California Shorelines,1444,/things-to-do/harbor-ocean-adventure/dana-point-beaches/
Doheny State Beach,1371,/listing/doheny-state-beach/239/
4th of july parking and fireworks,1355,/blog/post/where-to-park-and-where-to-watch-fireworks-in-dana-point/
Dana Point Hiking | Find Your Trail,1329,/things-to-do/onshore-activities/hiking/
Ocean View Restaurants in Dana Point | Visit Dana Point,1187,/dana-point-restaurants/ocean-view-restaurants/
Art & Museums in Orange County | Visit Dana Point,1106,/things-to-do/arts-culture/
Dana Point Headlands Conservation Area,1100,/listing/dana-point-headlands-conservation-area/298/
Calendar - Visit Dana Point,937,/events/calendar/
Contact Us - Visit Dana Point,906,/contact-us/
Dana Point Bars and Nightlife | Find Bars in Dana Point,886,/dana-point-restaurants/bars-nightlife/
404,883,/visitors-guide/
Capt. Dave's Dolphin & Whale Watching Safari,812,/listing/capt-daves-dolphin-&-whale-watching-safari/29/
55th Annual Festival of Whales,768,/event/55th-annual-festival-of-whales/738/
Dana Point Farmers Market,754,/event/dana-point-farmers-market/723/
Why Visit Dana Point? | Visit Dana Point,739,/plan/why-dana-point/
Surfing in Dana Point | Iconic Waves & Coastal Surf Spots,739,/things-to-do/harbor-ocean-adventure/dana-point-surfing/
Dana Point Hotels & Resorts | Where to Stay in Dana Point,736,/lodging/
Ocean Institute,727,/listing/ocean-institute/99/
Laguna Cliffs Marriott Resort & Spa,707,/listing/laguna-cliffs-marriott-resort-&-spa/79/
Dana Point Harbor,700,/listing/dana-point-harbor/42/
dana point trails,691,/blog/post/dana-point-hiking-and-walking-trails/
"The Ritz-Carlton, Laguna Niguel",690,/listing/the-ritz-carlton-laguna-niguel/140/
180blu,671,/listing/180blu/2/
Capistrano Beach,657,/listing/capistrano-beach/26/
Movies in the Park,627,/event/movies-in-the-park/765/
About Visit Dana Point - Visit Dana Point,614,/meet-the-team/
Search,596,/search/
Firework Spectacular at The Waldorf Astoria Monarch Beach Resort & Club,592,/event/firework-spectacular-at-the-waldorf-astoria-monarch-beach-resort-&-club/773/
Dana Point News & Media | Visit Dana Point,565,/news-media/
Dana Point Weddings | Coastal Venues & Oceanfront Celebrations,564,/weddings/
Waldorf Astoria Monarch Beach Resort & Club,561,/listing/waldorf-astoria-monarch-beach-resort-&-club/96/
Dana Wharf Sportfishing and Whale Watching,545,/listing/dana-wharf-sportfishing-and-whale-watching/51/
Catalina Express,537,/listing/catalina-express/165/
Dana Point Restaurants | Best Seafood & Coastal Dining,523,/dana-point-restaurants/
Best Beaches in Dana Point,514,/things-to-do/harbor-ocean-adventure/dana-point-beaches/
Doheny Surf,503,/listing/doheny-surf/53/
Hilton Garden Inn Dana Point Doheny Beach,500,/listing/hilton-garden-inn-dana-point-doheny-beach/54/
Meetings & Events | Visit Dana Point,499,/meetings/
"Festival of Whales in Dana Point, CA",473,/blog/post/festival-of-whales-in-dana-point-ca/
Dana Point Wedding Venues | Visit Dana Point,472,/weddings/
Blufftop Trail,471,/listing/blufftop-trail/268/
Wheel Fun Rentals & Board Rentals,452,/listing/wheel-fun-rentals-&-board-rentals/155/
Bike Rentals - Visit Dana Point,441,/things-to-do/onshore-activities/bike-rental/
"4th of July, Dana Point",440,/blog/post/celebrate-the-4th-of-july-in-dana-point/
Capistrano Coast House,438,/listing/capistrano-coast-house/378/
The Spa at Laguna Cliffs Resort,435,/listing/the-spa-at-laguna-cliffs-resort/143/
Dana Point Fishing | Dana Point Sportfishing,427,/things-to-do/harbor-ocean-adventure/fishing/
Plan,426,/plan/
404,424,/lantern-district/
Meetings in Dana Point | Coastal Venues & Group Gatherings,424,/meetings/
Longboard Rooftop Lounge,419,/listing/longboard-rooftop-lounge/97/
Candlelight Concerts by Fever,404,/event/candlelight-concerts-by-fever/730/
Sunsets Bar and Grill,396,/listing/sunsets-bar-and-grill/191/
Headlands Conservation Area Trail System,393,/listing/headlands-conservation-area-trail-system/283/
Family-Friendly Restaurants | Visit Dana Point,384,/dana-point-restaurants/family-friendly/
Marine Life in Dana Point - Visit Dana Point,382,/things-to-do/marine-life-in-dana-point/
Monarch Bay Beach Club,380,/listing/monarch-bay-beach-club/93/
Fine Dining in Orange County | Visit Dana Point,377,/dana-point-restaurants/fine-dining/
Dana Point Hotels | Best Hotels in Dana Point,377,/lodging/dana-point-hotels/
Outdoor Recreation - Visit Dana Point,349,/things-to-do/outdoor-recreation/
"Dana Point Blog | Travel Tips, Events & Local Inspiration",343,/blog/
California Wine Festival,340,/event/california-wine-festival/753/
Dana Point Beachfront Hotels | Oceanfront Stays & Coastal Views,339,/lodging/dana-point-hotels-on-the-beach/
Why Dana Point | Places to Visit in Southern California,329,/plan/why-dana-point/
Best Western Plus Dana Point Inn By The Sea,327,/listing/best-western-plus-dana-point-inn-by-the-sea/18/
Why Dana Point | Places to Visit in Southern California,325,/plan-your-visit/why-dana-point/
"Dana Point Newsletter | Travel Updates, Events & Coastal Tips",323,/newsletter/
A Guide to Dana Point's Beaches,322,/blog/post/a-guide-to-dana-points-beaches/
Valentine’s Day in Dana Point: Romantic Getaways & Dining,320,/blog/post/romance-by-the-coast-valentines-day-in-dana-point/
Wind & Sea Restaurant,318,/listing/wind-&-sea-restaurant/278/
The Beachfront Inn & Suites,313,/listing/the-beachfront-inn-&-suites/230/
Job Openings - Visit Dana Point,311,/meet-the-team/job-openings/
Summer Trolley Service,308,/event/summer-trolley-service/763/
Dana Point Surfing | Catch Your Wave,307,/things-to-do/harbor-ocean-adventure/dana-point-surfing/
Palisades Gazebo Park,304,/listing/palisades-gazebo-park/345/
Best Coffee Shops in Dana Point,294,/blog/post/best-coffee-shops-dana-point/
Newsletter,293,/newsletter/
OC Parks Summer Concert,291,/event/oc-parks-summer-concert/769/
Soundtrack to Summer,282,/event/soundtrack-to-summer/757/
Spa & Wellness in Dana Point | Relaxation by the Sea,278,/things-to-do/onshore-activities/spa-wellness/
Privacy Policy,274,/privacy-policy/
Mission San Juan Capistrano,273,/listing/mission-san-juan-capistrano/261/
Chart House Restaurant,270,/listing/chart-house-restaurant/32/
Hilton Vacation Club Riviera Beach & Shores,255,/listing/hilton-vacation-club-riviera-beach-&-shores/190/
What to do and where to stay in Dana Point for the 4th of July,252,/blog/post/what-to-do-in-dana-point-for-the-4th-of-july-and-where-to-stay/
Spas - Visit Dana Point,251,/things-to-do/spas/
Dana Point Harbor Adventures | Ocean Activities & Coastal Fun,250,/things-to-do/harbor-ocean-adventure/
Boating & Fishing - Visit Dana Point,244,/things-to-do/harbor-ocean-adventure/boating-fishing/
Dana Point City-Wide Scavenger Hunt,237,/event/dana-point-city-wide-scavenger-hunt/754/
Dana Point Hotels on the Beach | Hotels With Ocean View,228,/lodging/dana-point-hotels-on-the-beach/
Dana Point's History of Authenticity,227,/blog/post/dana-points-history-of-authenticity/
Bike Rentals in Dana Point | Coastal Cycling & E-Bikes,227,/things-to-do/onshore-activities/bike-rental/
Health & Wellness | Dana Point Spas | Dana Point Yoga,227,/things-to-do/onshore-activities/spa-wellness/
Mother's Day Brunch Buffet,224,/event/mothers-day-brunch-buffet/746/
Easter Brunch Buffet,220,/event/easter-brunch-buffet/743/
"The Spa at the Ritz-Carlton, Laguna Niguel",220,/listing/the-spa-at-the-ritz-carlton-laguna-niguel/141/
Lantern Bay Park,213,/listing/lantern-bay-park/80/
Laguna Cliffs Marriott's Stars Stripes & Sounds Festival,210,/event/laguna-cliffs-marriotts-stars-stripes-&-sounds-festival/791/
404,207,/blog/post/celebrate-the-4th-of-july-in-dana-point/
Blue Lantern Inn,206,/listing/blue-lantern-inn/22/
Salt Creek Trail,202,/listing/salt-creek-trail/248/
Doheny Bike,201,/listing/doheny-bike/300/
Golfing in Dana Point | Scenic Courses & Coastal Fairways,194,/things-to-do/onshore-activities/golfing/
Lantern's Edge,191,/listing/lanterns-edge/153/
Dana Point Festivals | Coastal Events & Live Music Guide,189,/blog/post/its-festival-season-in-dana-point/
Ohana Festival 2026,189,/blog/post/ohana-festival-dana-point/
Coastal Explorer USA,181,/listing/coastal-explorer-usa/371/
Smoke on the Water,179,/event/smoke-on-the-water/776/
RAYA,179,/listing/raya/110/
OC Parks Sunset Cinema,177,/event/oc-parks-sunset-cinema/770/
Capistrano SurfSide Inn,176,/listing/capistrano-surfside-inn/231/
Pure Watersports,176,/listing/pure-watersports/44/
Organic Market,174,/event/organic-market/764/
Dana Point Beach Guide | Best Places for Surf & Relaxing,173,/blog/post/a-guide-to-dana-points-beaches/
Family-Friendly Restaurants Dana Point | Kids Welcome,173,/dana-point-restaurants/family-friendly/
Starry Nights at Del Mar Lawn,173,/event/starry-nights-at-del-mar-lawn/759/
Best Western Plus Marina Shores Hotel,171,/listing/best-western-plus-marina-shores-hotel/19/
Westwind Sailing,171,/listing/westwind-sailing/259/
Expert Active,168,/listing/expert-active/303/
Catalina Island Day Trip,164,/blog/post/catalina-island-day-trip/
Waterman's Plaza,164,/listing/watermans-plaza/359/
Dana Point Marina Inn,163,/listing/dana-point-marina-inn/46/
Girl in the Curl Surf Shop & Surfing School,160,/listing/girl-in-the-curl-surf-shop-&-surfing-school/59/
Golden Galleon Boutique,160,/listing/golden-galleon-boutique/60/
About Orange County California | Visit Dana Point,159,/orange-county-california/
Be sure to add a meta title,155,/includes/plugins/nav/preview_civs/
Hop On Safari,148,/listing/hop-on-safari/337/
Barrel & Brews,144,/listing/barrel-&-brews/100/
Young's Beach Shack,144,/listing/youngs-beach-shack/317/
What to do and where to stay in Dana Point for the 4th of July,143,/includes/plugins/nav/preview_civs/
Dana Point Resorts | Top Luxury Beach Hotels in California,142,/lodging/dana-point-resorts/
Surfing in Dana Point | Iconic Waves & Coastal Surf Spots,138,/includes/plugins/nav/preview_civs/
