State,Share of Trips
California,44.58%
Arizona,7.78%
Texas,6.47%
Nevada,4.09%
Colorado,2.79%
Florida,2.66%
Utah,2.31%
Washington,2.26%
Illinois,2.04%
New York,2.03%
Georgia,1.38%
Oregon,1.30%
North Carolina,1.21%
Ohio,1.21%
New Jersey,1.20%
Michigan,1.18%
Pennsylvania,1.12%
Tennessee,1.06%
Virginia,1.00%
Missouri,0.96%
Minnesota,0.88%
Idaho,0.85%
Massachusetts,0.78%
Indiana,0.77%
Oklahoma,0.66%
Maryland,0.66%
Wisconsin,0.59%
Hawaii,0.53%
South Carolina,0.52%
Kansas,0.51%
Alabama,0.47%
Louisiana,0.43%
Connecticut,0.42%
New Mexico,0.42%
Arkansas,0.41%
Kentucky,0.39%
Iowa,0.34%
Nebraska,0.32%
Montana,0.26%
Mississippi,0.20%
District of Columbia,0.14%
New Hampshire,0.11%
Rhode Island,0.10%
Wyoming,0.10%
South Dakota,0.09%
Delaware,0.09%
Maine,0.08%
North Dakota,0.07%
West Virginia,0.07%
Alaska,0.06%
Vermont,0.03%
Puerto Rico,0.00%
