date,vendor,tactic,creative,fires
2026-07-17,Datafy,Video,15_sec,11
2026-07-22,Datafy,Video,30_sec,5
2026-07-16,Datafy,Video,15_sec,4
2026-07-23,Datafy,Video,30_sec,3
2026-07-15,Datafy,Video,15_sec,3
2026-07-24,Datafy,Video,30_sec,5
2026-07-14,Datafy,Video,15_sec,7
2026-07-25,Datafy,Video,30_sec,2
2026-07-21,Datafy,Video,15_sec,4
2026-07-26,Datafy,Video,30_sec,3
2026-07-20,Datafy,Video,15_sec,5
2026-07-27,Datafy,Video,30_sec,2
2026-07-27,Datafy,Native,Drive_Market_1,1783
2026-07-19,Datafy,Video,15_sec,3
2026-07-23,Datafy,Native,Drive_Market_1,1805
2026-07-25,Datafy,Native,Drive_Market_1,1820
2026-07-20,Datafy,Native,Drive_Market_1,1833
2026-07-18,Datafy,Native,Drive_Market_1,1796
2026-07-16,Datafy,Native,Drive_Market_1,1860
2026-07-14,Datafy,Native,Drive_Market_1,1765
2026-07-18,Datafy,Video,15_sec,12
2026-07-09,Datafy,Video,15_sec,38
2026-07-28,Datafy,Video,30_sec,3
2026-07-08,Datafy,Video,15_sec,14
2026-07-19,Datafy,Native,Fly_Market_2,1784
2026-07-21,Datafy,Native,Fly_Market_2,1796
2026-07-15,Datafy,Native,Fly_Market_2,1851
2026-07-17,Datafy,Native,Fly_Market_2,1826
2026-07-28,Datafy,Native,Fly_Market_2,1790
2026-07-26,Datafy,Native,Fly_Market_2,1779
2026-07-24,Datafy,Native,Fly_Market_2,1798
2026-07-22,Datafy,Native,Fly_Market_2,1793
2026-07-13,Datafy,Native,Fly_Market_2,1859
2026-07-13,Datafy,Video,15_sec,7
2026-07-12,Datafy,Video,15_sec,10
2026-07-11,Datafy,Video,15_sec,9
2026-07-10,Datafy,Video,15_sec,18
2026-07-18,Datafy,Video,30_sec,10
2026-07-28,Datafy,Video,15_sec,5
2026-07-19,Datafy,Video,30_sec,14
2026-07-27,Datafy,Video,15_sec,3
2026-07-20,Datafy,Video,30_sec,8
2026-07-26,Datafy,Video,15_sec,9
2026-07-21,Datafy,Video,30_sec,8
2026-07-25,Datafy,Video,15_sec,3
2026-07-14,Datafy,Video,30_sec,6
2026-07-24,Datafy,Video,15_sec,4
2026-07-15,Datafy,Video,30_sec,4
2026-07-23,Datafy,Video,15_sec,5
2026-07-16,Datafy,Video,30_sec,3
2026-07-22,Datafy,Video,15_sec,5
2026-07-17,Datafy,Video,30_sec,3
2026-07-10,Datafy,Video,30_sec,24
2026-07-11,Datafy,Video,30_sec,19
2026-07-12,Datafy,Video,30_sec,9
2026-07-13,Datafy,Video,30_sec,4
2026-07-08,Datafy,Video,30_sec,14
2026-07-09,Datafy,Video,30_sec,37
2026-07-18,Datafy,Native,Fly_Market_2,1770
2026-07-20,Datafy,Native,Fly_Market_2,1828
2026-07-14,Datafy,Native,Fly_Market_2,1754
2026-07-16,Datafy,Native,Fly_Market_2,1846
2026-07-27,Datafy,Native,Fly_Market_2,1755
2026-07-25,Datafy,Native,Fly_Market_2,1823
2026-07-23,Datafy,Native,Fly_Market_2,1796
2026-07-26,Datafy,Native,Drive_Market_1,1850
2026-07-13,Datafy,Native,Drive_Market_1,1396
2026-07-22,Datafy,Native,Drive_Market_1,1863
2026-07-24,Datafy,Native,Drive_Market_1,1830
2026-07-21,Datafy,Native,Drive_Market_1,1848
2026-07-28,Datafy,Native,Drive_Market_1,1808
2026-07-17,Datafy,Native,Drive_Market_1,1825
2026-07-15,Datafy,Native,Drive_Market_1,1817
2026-07-19,Datafy,Native,Drive_Market_1,1807
