Name,Month,Spend Volume
Accommodations,2026-01-01,2663280
Accommodations,2026-02-01,2583596
Accommodations,2026-03-01,2641166
Accommodations,2026-04-01,2875675
Accommodations,2026-05-01,2812756
Accommodations,2026-06-01,2578694
Accommodations,2026-07-01,2656744
Dining and Nightlife,2026-01-01,1805295
Dining and Nightlife,2026-02-01,1759926
Dining and Nightlife,2026-03-01,1798262
Dining and Nightlife,2026-04-01,1864947
Dining and Nightlife,2026-05-01,1791131
Dining and Nightlife,2026-06-01,1735403
Dining and Nightlife,2026-07-01,1772599
Grocery and Dept Stores,2026-01-01,956528
Grocery and Dept Stores,2026-02-01,938994
Grocery and Dept Stores,2026-03-01,935192
Grocery and Dept Stores,2026-04-01,921519
Grocery and Dept Stores,2026-05-01,886409
Grocery and Dept Stores,2026-06-01,841166
Grocery and Dept Stores,2026-07-01,826091
Specialty Retail,2026-01-01,444217
Specialty Retail,2026-02-01,438644
Specialty Retail,2026-03-01,452221
Specialty Retail,2026-04-01,504780
Specialty Retail,2026-05-01,465511
Specialty Retail,2026-06-01,459261
Specialty Retail,2026-07-01,471706
Service Stations,2026-01-01,377035
Service Stations,2026-02-01,400744
Service Stations,2026-03-01,410022
Service Stations,2026-04-01,473567
Service Stations,2026-05-01,448763
Service Stations,2026-06-01,446938
Service Stations,2026-07-01,438626
Clothing and Accessories,2026-01-01,282556
Clothing and Accessories,2026-02-01,264092
Clothing and Accessories,2026-03-01,259653
Clothing and Accessories,2026-04-01,276941
Clothing and Accessories,2026-05-01,261532
Clothing and Accessories,2026-06-01,202238
Clothing and Accessories,2026-07-01,200084
Personal Care and Services,2026-01-01,241467
Personal Care and Services,2026-02-01,247350
Personal Care and Services,2026-03-01,247280
Personal Care and Services,2026-04-01,236359
Personal Care and Services,2026-05-01,218215
Personal Care and Services,2026-06-01,206881
Personal Care and Services,2026-07-01,187509
"Leisure, Recreation and Entertainment",2026-01-01,227448
"Leisure, Recreation and Entertainment",2026-02-01,214259
"Leisure, Recreation and Entertainment",2026-03-01,226993
"Leisure, Recreation and Entertainment",2026-04-01,231904
"Leisure, Recreation and Entertainment",2026-05-01,217080
"Leisure, Recreation and Entertainment",2026-06-01,199769
"Leisure, Recreation and Entertainment",2026-07-01,208128
Fast Food Restaurants,2026-01-01,174250
Fast Food Restaurants,2026-02-01,168957
Fast Food Restaurants,2026-03-01,173548
Fast Food Restaurants,2026-04-01,192213
Fast Food Restaurants,2026-05-01,190236
Fast Food Restaurants,2026-06-01,186032
Fast Food Restaurants,2026-07-01,197017
Transportation,2026-01-01,23337
Transportation,2026-02-01,22401
Transportation,2026-03-01,24059
Transportation,2026-04-01,34566
Transportation,2026-05-01,33897
Transportation,2026-06-01,34454
Transportation,2026-07-01,39407
General Services,2026-03-01,5389
General Services,2026-04-01,5389
General Services,2026-06-01,5389
