State,Share of Trips
California,45.45%
Arizona,7.38%
Texas,6.33%
Nevada,4.00%
Colorado,2.70%
Florida,2.65%
Utah,2.29%
Washington,2.26%
Illinois,1.99%
New York,1.89%
Oregon,1.35%
Georgia,1.31%
Ohio,1.19%
Michigan,1.17%
North Carolina,1.15%
New Jersey,1.07%
Tennessee,1.07%
Pennsylvania,1.05%
Missouri,0.98%
Virginia,0.96%
Minnesota,0.92%
Idaho,0.89%
Massachusetts,0.78%
Indiana,0.75%
Oklahoma,0.70%
Wisconsin,0.62%
Maryland,0.61%
Kansas,0.55%
Hawaii,0.53%
South Carolina,0.51%
Arkansas,0.47%
Alabama,0.46%
New Mexico,0.45%
Connecticut,0.42%
Louisiana,0.42%
Kentucky,0.35%
Nebraska,0.35%
Iowa,0.34%
Montana,0.28%
Mississippi,0.22%
District of Columbia,0.18%
New Hampshire,0.14%
Rhode Island,0.12%
Wyoming,0.11%
Delaware,0.11%
Maine,0.10%
North Dakota,0.09%
South Dakota,0.09%
Alaska,0.09%
West Virginia,0.08%
Vermont,0.06%
Puerto Rico,0.01%
