Demographic,Group/Level,Share of Demographic
Age,45-64 years old,38.48%
Age,25-44 years old,25.65%
Age,65+ years old,24.02%
Age,16-24 years old,11.86%
Education Level,High School,51.00%
Education Level,Bachelors,42.70%
Education Level,Graduate,6.30%
Ethnicity,White,66.76%
Ethnicity,Hispanic,19.71%
Ethnicity,Asian,9.43%
Ethnicity,Black,3.11%
Ethnicity,Other,0.99%
Household,1-2 people,48.84%
Household,3-5 people,43.00%
Household,6+ people,8.17%
Income,$150K+,29.95%
Income,$0-$50K,22.94%
Income,$100K-$150K,20.11%
Income,$75K-$100K,14.03%
Income,$50K-$75K,12.97%
