Origin Airport,Share of Passengers
Hartsfield-Jackson Atlanta International Airport (ATL),4.65%
Chicago O'Hare International Airport (ORD),3.70%
Dallas/Fort Worth International Airport (DFW),3.68%
Denver International Airport (DEN),3.56%
Los Angeles International Airport (LAX),3.21%
Orlando International Airport (MCO),2.91%
Miami International Airport (MIA),2.69%
Phoenix Sky Harbor International Airport (PHX),2.56%
John F. Kennedy International Airport (JFK),2.55%
Harry Reid International Airport (LAS),2.40%
