DMA,Trips,Avg. Length of Stay
Los Angeles,22.53%,1.9 days
San Diego,9.34%,1.9 days
Phoenix -Prescott,6.51%,2.5 days
San Francisco-Oak-San Jose,4.28%,2.3 days
Las Vegas,3.47%,2.4 days
Dallas-Ft. Worth,2.69%,2.3 days
New York,2.57%,2.2 days
Sacramnto-Stkton-Modesto,2.52%,2.3 days
Salt Lake City,2.31%,2.3 days
Denver,2.23%,2.5 days
Seattle-Tacoma,1.71%,2.3 days
Chicago,1.69%,2.2 days
Palm Springs,1.67%,2.2 days
Houston,1.39%,2.2 days
SantaBarbra-SanMar-SanLuob,1.34%,2.3 days
Atlanta,1.15%,2.1 days
Washington-DC -Hagrstwn,1.04%,2.1 days
Fresno-Visalia,0.99%,2.2 days
Portland- OR,0.92%,2.3 days
Minneapolis-St. Paul,0.86%,2.2 days
