month,active_listings,avg_daily_rate,occupancy_pct,revpar,entire_home_pct,avg_review_score,avg_min_nights
2024-01,412,271.50,61.2,166.16,58.4,4.72,2.8
2024-02,418,285.00,65.8,187.53,59.1,4.74,2.9
2024-03,435,298.00,70.4,209.79,60.2,4.73,3.0
2024-04,448,318.00,74.1,235.64,61.5,4.75,3.1
2024-05,461,334.00,77.2,257.85,62.8,4.76,3.2
2024-06,482,358.00,81.6,292.13,63.9,4.77,3.4
2024-07,498,374.00,84.3,315.28,65.1,4.78,3.5
2024-08,494,368.00,83.1,305.81,64.7,4.77,3.4
2024-09,471,341.00,76.8,261.89,63.2,4.76,3.2
2024-10,455,312.00,71.4,222.77,61.8,4.74,3.0
2024-11,438,289.00,64.9,187.56,59.6,4.73,2.9
2024-12,445,306.00,67.3,205.94,60.4,4.74,3.1
