Date,"Page Followers","Page Media Views","Reach","Page Views"
"July 23, 2026",100138,57500,35160,319
"July 16, 2026",100124,6394,4493,133
"July 9, 2026",100111,31594,23279,162
"July 2, 2026",100099,23407,16112,231
"June 25, 2026",100082,24613,17757,165
"June 18, 2026",100044,94311,66966,566
"June 11, 2026",99907,70845,48025,403
"June 4, 2026",99891,8034,6155,79
"May 28, 2026",99906,8814,6341,161
"May 21, 2026",99918,5306,3553,81
"May 14, 2026",99926,22965,15092,155
"May 7, 2026",99936,2414,1569,52
"April 30, 2026",99944,4190,2490,63
"April 23, 2026",99913,33608,21595,353
"April 16, 2026",99836,81839,48676,552
"April 9, 2026",99723,50433,26903,345
"April 2, 2026",99727,3265,1400,131
"March 26, 2026",99738,2039,1633,114
"March 19, 2026",99759,447,242,88
"March 12, 2026",99778,500,274,114
"March 5, 2026",99798,424,173,93
"February 26, 2026",99803,448,707,85
"February 19, 2026",99813,539,147,57
"February 12, 2026",99837,394,143,41
"February 5, 2026",99851,691,193,78
"January 29, 2026",99873,745,941,69
"January 22, 2026",99895,520,734,51
"January 15, 2026",99912,1158,944,91
"January 8, 2026",99926,2539,2815,70
"January 1, 2026",99941,5935,4227,95
