Date,"Views","Reach","Reposts","Followers"
"July 25, 2026",113656,10923,33,
"July 18, 2026",17963,715,9,
"July 11, 2026",33670,581,9,
"July 4, 2026",31560,913,18,
"June 27, 2026",35958,1442,27,
"June 20, 2026",77771,1754,26,
"June 13, 2026",84459,2966,25,
"June 6, 2026",107882,3134,27,
"May 30, 2026",116053,394,0,
"May 23, 2026",92151,976,0,
"May 16, 2026",70155,1489,22,
"May 9, 2026",57886,2523,19,
"May 2, 2026",112816,525,17,
"April 25, 2026",63227,1089,14,
"April 18, 2026",66457,2108,46,
"April 11, 2026",81058,2690,41,
"April 4, 2026",119326,758,4,
"March 28, 2026",116128,1016,8,
"March 21, 2026",26518,490,1,
"March 14, 2026",6443,238,0,
"March 7, 2026",1965,36,,
"February 28, 2026",1931,31,,
"February 21, 2026",5224,70,,
"February 15, 2026",2173,18,,
"February 9, 2026",1270,15,,
"February 3, 2026",3292,18,,
"January 29, 2026",5753,6,,24480
"January 22, 2026",976,33,,24440
"January 15, 2026",3344,165,,24426
"January 8, 2026",4057,159,,24426
"January 1, 2026",2910,116,,24432
"July 23, 2026",,,,25851
"July 16, 2026",,,,25762
"July 9, 2026",,,,25722
"July 2, 2026",,,,25673
"June 25, 2026",,,,25621
"June 18, 2026",,,,25540
"June 11, 2026",,,,25391
"June 4, 2026",,,,25293
"May 28, 2026",,,,25241
"May 21, 2026",,,,25180
"May 14, 2026",,,,25114
"May 7, 2026",,,,25025
"April 30, 2026",,,,25139
"April 23, 2026",,,,25034
"April 16, 2026",,,,24913
"April 9, 2026",,,,24825
"April 2, 2026",,,,24749
"March 26, 2026",,,,24668
"March 19, 2026",,,,24582
"March 12, 2026",,,,24555
"March 5, 2026",,,,24541
"February 26, 2026",,,,24515
"February 19, 2026",,,,24504
"February 12, 2026",,,,24501
"February 5, 2026",,,,24502
