Date,"Video Views","Followers"
"July 23, 2026",66,650
"July 16, 2026",77,649
"July 9, 2026",100,644
"July 2, 2026",93,631
"June 25, 2026",82,621
"June 18, 2026",70,613
"June 11, 2026",121,600
"June 4, 2026",219,592
"May 28, 2026",382,584
"May 21, 2026",285,568
"May 14, 2026",868,556
"May 7, 2026",9,549
"April 30, 2026",16,547
"April 23, 2026",8,548
"April 16, 2026",7,546
"April 9, 2026",26,545
"April 2, 2026",15,543
"March 26, 2026",20,544
"March 19, 2026",30,543
"March 12, 2026",17,541
"March 5, 2026",21,539
"February 26, 2026",22,538
"February 19, 2026",7,541
"February 12, 2026",23,539
"February 5, 2026",15,539
"January 29, 2026",25,543
"January 22, 2026",52,543
"January 15, 2026",37,543
"January 8, 2026",79,544
"January 1, 2026",105,545
